Symbol,Quantity,CurrentPrice,PurchasePrice,HighLimit,LowLimit,Sector
NVDA,800,142.50,98.20,160.00,110.00,Technology
AAPL,600,228.40,180.00,250.00,200.00,Technology
MSFT,400,418.60,375.00,460.00,360.00,Technology
GOOGL,500,165.20,140.50,180.00,135.00,Communication
AMZN,300,184.30,165.00,210.00,150.00,Consumer Cyclical
META,250,562.00,480.00,620.00,440.00,Communication
TSLA,200,242.80,260.00,300.00,180.00,Automotive
LLY,180,790.50,720.00,900.00,680.00,Healthcare
JPM,350,228.10,198.40,250.00,180.00,Financial
4280,1500,11.20,9.80,14.00,8.50,Financial
BTC,2.5,68400.00,48200.00,80000.00,40000.00,Crypto
COIN,150,180.40,195.00,220.00,140.00,Financial
PLTR,1200,42.30,28.10,55.00,22.00,Technology
AVGO,180,1745.00,1380.00,1900.00,1300.00,Technology
XOM,420,118.20,108.50,130.00,95.00,Energy
WATCHME,0,52.40,0,0,0,Healthcare
TSM,0,202.10,0,0,0,Technology
CASH,1,250000,250000,0,0,
